Place Name,Quarter,State,Total Amount,Total Transactions count,Year
kishanganj district,2,bihar,1487107954.6460931,526568.0,2020
gaya district,2,bihar,4100072381.0730147,1972685.0,2020
samastipur district,2,bihar,3614031763.283358,1536299.0,2020
banka district,2,bihar,844160854.0753887,458109.0,2020
purbi champaran district,2,bihar,5443836316.373771,2357758.0,2020
sheohar district,2,bihar,451476592.3547003,205238.0,2020
bhojpur district,2,bihar,2037914496.4578981,954643.0,2020
madhepura district,3,bihar,2407274295.520947,840190.0,2020
purnia district,3,bihar,4557372216.14834,1716768.0,2020
nalanda district,3,bihar,3529746839.253335,1624864.0,2020
buxar district,3,bihar,1455757663.230104,656065.0,2020
darbhanga district,3,bihar,5614591300.21832,2323627.0,2020
nawada district,3,bihar,2308993006.0246663,1000893.0,2020
jamui district,3,bihar,1609232018.776348,734016.0,2020
sheikhpura district,3,bihar,574111444.3271546,241583.0,2020
siwan district,3,bihar,4329423959.004386,1927410.0,2020
muzaffarpur district,3,bihar,8200376318.760571,3476178.0,2020
patna district,3,bihar,53687192629.516014,20716631.0,2020
jehanabad district,3,bihar,1104035168.358767,550190.0,2020
rohtas district,3,bihar,3856856055.217502,1626703.0,2020
begusarai district,3,bihar,2893661971.816059,1317210.0,2020
supaul district,3,bihar,2379533644.449113,923545.0,2020
sitamarhi district,3,bihar,3409254144.772068,1409661.0,2020
saran district,3,bihar,4722794813.392222,2089459.0,2020
arwal district,3,bihar,694512744.6371222,340974.0,2020
vaishali district,3,bihar,4585312142.295209,2036376.0,2020
pashchim champaran district,3,bihar,5255815898.1095295,2269399.0,2020
gopalganj district,3,bihar,3174685073.331356,1415473.0,2020
lakhisarai district,3,bihar,1035626941.2723511,450566.0,2020
aurangabad district,3,bihar,3120668555.461432,1435440.0,2020
kaimur bhabua district,3,bihar,1428780291.4634778,624278.0,2020
araria district,3,bihar,2994975160.9148684,1042498.0,2020
munger district,3,bihar,1421983383.855388,679643.0,2020
katihar district,3,bihar,3853316755.0544763,1523754.0,2020
khagaria district,3,bihar,1852615085.4396431,714776.0,2020
saharsa district,3,bihar,2472660207.996662,972500.0,2020
bhagalpur district,3,bihar,5919155397.532423,2291210.0,2020
madhubani district,3,bihar,5502534112.219719,2378853.0,2020
kishanganj district,3,bihar,1847126001.013541,636842.0,2020
gaya district,3,bihar,5418904171.855324,2533169.0,2020
samastipur district,3,bihar,4648101415.026892,1964342.0,2020
banka district,3,bihar,1012504549.4394569,535276.0,2020
purbi champaran district,3,bihar,7082795603.424081,3014805.0,2020
sheohar district,3,bihar,625127614.8300326,259484.0,2020
bhojpur district,3,bihar,2741456517.85939,1209097.0,2020
madhepura district,4,bihar,3405769861.592245,1155495.0,2020
purnia district,4,bihar,6313205420.536484,2416041.0,2020
nalanda district,4,bihar,5113627159.016582,2255217.0,2020
buxar district,4,bihar,2433657273.736909,963324.0,2020
darbhanga district,4,bihar,8213612835.37384,3297598.0,2020
nawada district,4,bihar,3226293360.7975717,1338381.0,2020
jamui district,4,bihar,2328130984.141419,1013521.0,2020
sheikhpura district,4,bihar,779886887.556597,313125.0,2020
siwan district,4,bihar,7277805273.892392,2923089.0,2020
muzaffarpur district,4,bihar,12202451465.695421,4970912.0,2020
patna district,4,bihar,59562106826.237236,24443301.0,2020
jehanabad district,4,bihar,1632955082.005651,767929.0,2020
rohtas district,4,bihar,5786209443.492434,2274947.0,2020
begusarai district,4,bihar,4383397822.314561,1917729.0,2020
supaul district,4,bihar,3451957982.64254,1248616.0,2020
sitamarhi district,4,bihar,5163962875.829563,1921037.0,2020
saran district,4,bihar,7973001812.2863655,3186771.0,2020
arwal district,4,bihar,977567078.4541155,458804.0,2020
vaishali district,4,bihar,6877998945.9676485,2855999.0,2020
pashchim champaran district,4,bihar,8105523399.184195,3212814.0,2020
gopalganj district,4,bihar,5396052519.427364,2155078.0,2020
lakhisarai district,4,bihar,1489033799.4804761,631414.0,2020
aurangabad district,4,bihar,4731495349.138017,2000839.0,2020
kaimur bhabua district,4,bihar,1996021958.003662,804133.0,2020
araria district,4,bihar,4487761348.603099,1536430.0,2020
munger district,4,bihar,2097436831.3098588,985968.0,2020
katihar district,4,bihar,5579698503.842487,2214215.0,2020
khagaria district,4,bihar,2780348233.324653,1056610.0,2020
saharsa district,4,bihar,3474389173.253613,1364666.0,2020
bhagalpur district,4,bihar,7190986202.22508,2991335.0,2020
madhubani district,4,bihar,8381284790.63908,3371688.0,2020
kishanganj district,4,bihar,2782113132.043217,891347.0,2020
gaya district,4,bihar,8039045789.856662,3671183.0,2020
samastipur district,4,bihar,7160693870.108389,2867496.0,2020
banka district,4,bihar,1444721613.391323,715298.0,2020
purbi champaran district,4,bihar,11303073256.04687,4295258.0,2020
sheohar district,4,bihar,925961538.7522073,340485.0,2020
bhojpur district,4,bihar,4436373436.272965,1763580.0,2020
madhepura district,1,bihar,3829336405.4809704,1236738.0,2021
purnia district,1,bihar,7235829630.468956,2732403.0,2021
nalanda district,1,bihar,5351626268.902303,2268463.0,2021
buxar district,1,bihar,2401505831.324938,879471.0,2021
darbhanga district,1,bihar,8967471837.09712,3456999.0,2021
nawada district,1,bihar,3497752896.396698,1343218.0,2021
jamui district,1,bihar,2639451343.197311,1038356.0,2021
sheikhpura district,1,bihar,824998708.3578898,300298.0,2021
siwan district,1,bihar,6920358606.864025,2823522.0,2021
muzaffarpur district,1,bihar,13070944463.381811,5221017.0,2021
patna district,1,bihar,88998693556.23962,41272981.0,2021
jehanabad district,1,bihar,1700603455.4785092,723928.0,2021
rohtas district,1,bihar,6088176848.290617,2216469.0,2021
begusarai district,1,bihar,4651369214.180332,1977439.0,2021
supaul district,1,bihar,4085528078.455164,1362458.0,2021
sitamarhi district,1,bihar,5446770751.154965,1895158.0,2021
saran district,1,bihar,7424026781.0438,3020459.0,2021
arwal district,1,bihar,1040900664.8794961,430486.0,2021
vaishali district,1,bihar,6839038567.825459,2763964.0,2021
pashchim champaran district,1,bihar,9047860514.271101,3418382.0,2021
gopalganj district,1,bihar,5212014141.400023,2101332.0,2021
lakhisarai district,1,bihar,1545725649.948939,613756.0,2021
aurangabad district,1,bihar,5360695922.721033,1991766.0,2021
kaimur bhabua district,1,bihar,2190183735.765605,794062.0,2021
araria district,1,bihar,5106231997.785754,1645629.0,2021
munger district,1,bihar,2192552874.58242,960092.0,2021
katihar district,1,bihar,6390929745.816675,2323955.0,2021
khagaria district,1,bihar,2989173408.7048182,1072001.0,2021
saharsa district,1,bihar,4023753805.6454988,1467040.0,2021
bhagalpur district,1,bihar,8757585231.542503,3729907.0,2021
madhubani district,1,bihar,8809359759.376596,3251471.0,2021
kishanganj district,1,bihar,3331835551.1170974,956184.0,2021
gaya district,1,bihar,8943163048.402979,3790466.0,2021
samastipur district,1,bihar,7326852418.778886,2833659.0,2021
banka district,1,bihar,1625176383.088505,678449.0,2021
purbi champaran district,1,bihar,11804741355.35818,4379932.0,2021
sheohar district,1,bihar,992124431.7163755,337930.0,2021
bhojpur district,1,bihar,4309305816.184845,1622637.0,2021
madhepura district,2,bihar,5218255019.0091915,1684296.0,2021
purnia district,2,bihar,10051174945.9684,3753134.0,2021
nalanda district,2,bihar,6967154493.828712,2876066.0,2021
buxar district,2,bihar,3456834620.013396,1252195.0,2021
darbhanga district,2,bihar,11767784404.76514,4739297.0,2021
nawada district,2,bihar,5050993065.48583,1911948.0,2021
jamui district,2,bihar,3812688721.112037,1521567.0,2021
sheikhpura district,2,bihar,1154376779.108221,427755.0,2021
siwan district,2,bihar,11418849549.14157,4705097.0,2021
muzaffarpur district,2,bihar,17019791090.778511,6872504.0,2021
patna district,2,bihar,114936398151.9936,53400850.0,2021
jehanabad district,2,bihar,2626018955.126718,995035.0,2021
rohtas district,2,bihar,8146321797.816347,3001706.0,2021
begusarai district,2,bihar,6263183535.48712,2745981.0,2021
supaul district,2,bihar,5320160534.73731,1834979.0,2021
sitamarhi district,2,bihar,7205555125.0109625,2697354.0,2021
saran district,2,bihar,10815034968.865551,4392087.0,2021
arwal district,2,bihar,1539697265.4617,605677.0,2021
vaishali district,2,bihar,9160292752.674015,3799946.0,2021
pashchim champaran district,2,bihar,11234841877.680359,4672176.0,2021
gopalganj district,2,bihar,7589526482.70171,3111515.0,2021
lakhisarai district,2,bihar,2158341954.813293,840880.0,2021
aurangabad district,2,bihar,6989875839.547193,2708735.0,2021
kaimur bhabua district,2,bihar,3095159551.478701,1150340.0,2021
araria district,2,bihar,6805583750.251827,2293469.0,2021
munger district,2,bihar,3058878685.264951,1320520.0,2021
katihar district,2,bihar,8474000097.458374,3117723.0,2021
khagaria district,2,bihar,4091424766.0814667,1469798.0,2021
saharsa district,2,bihar,5015686222.710497,1904150.0,2021
bhagalpur district,2,bihar,11733711173.39773,5068435.0,2021
madhubani district,2,bihar,11634612114.699202,4695466.0,2021
kishanganj district,2,bihar,3935360082.170837,1256800.0,2021
gaya district,2,bihar,11427447209.34169,4732185.0,2021
samastipur district,2,bihar,9848885594.57926,4015424.0,2021
banka district,2,bihar,2292049412.439997,999688.0,2021
purbi champaran district,2,bihar,15889825388.130192,6300129.0,2021
sheohar district,2,bihar,1470937924.170318,516755.0,2021
bhojpur district,2,bihar,5903541283.277052,2211960.0,2021
madhepura district,3,bihar,5500029849.280424,2034018.0,2021
purnia district,3,bihar,11168325427.92741,4826016.0,2021
nalanda district,3,bihar,7437410612.103645,3381075.0,2021
buxar district,3,bihar,3166266892.788152,1331392.0,2021
darbhanga district,3,bihar,12557911471.46678,5791524.0,2021
nawada district,3,bihar,5233101106.18405,2139002.0,2021
jamui district,3,bihar,3769910510.858705,1679182.0,2021
sheikhpura district,3,bihar,1178457856.4269729,463143.0,2021
siwan district,3,bihar,14555326812.65278,6975763.0,2021
muzaffarpur district,3,bihar,19088505213.98187,8663460.0,2021
patna district,3,bihar,120377977089.1722,65085179.0,2021
jehanabad district,3,bihar,3015464945.8990293,1195445.0,2021
rohtas district,3,bihar,7988380311.967452,3409156.0,2021
begusarai district,3,bihar,7023004546.1717825,3382669.0,2021
supaul district,3,bihar,5797237916.379905,2247423.0,2021
sitamarhi district,3,bihar,7538949774.601155,3071280.0,2021
saran district,3,bihar,10653230755.20859,4909074.0,2021
arwal district,3,bihar,1419881953.699672,655254.0,2021
vaishali district,3,bihar,10019125517.533041,4483512.0,2021
pashchim champaran district,3,bihar,12052580759.045238,5626291.0,2021
gopalganj district,3,bihar,7691691799.830381,3591809.0,2021
lakhisarai district,3,bihar,2099202462.5685422,944664.0,2021
aurangabad district,3,bihar,6528699841.273426,2970923.0,2021
kaimur bhabua district,3,bihar,2858892134.931362,1218238.0,2021
araria district,3,bihar,7222773479.316949,2813200.0,2021
munger district,3,bihar,3211090932.14084,1519400.0,2021
katihar district,3,bihar,9267765709.686602,3783324.0,2021
khagaria district,3,bihar,4317169777.008783,1706354.0,2021
saharsa district,3,bihar,5488205886.7050085,2350666.0,2021
bhagalpur district,3,bihar,12979510129.59964,6299248.0,2021
madhubani district,3,bihar,11442243635.12746,5236281.0,2021
kishanganj district,3,bihar,4550836950.242286,1562190.0,2021
gaya district,3,bihar,12593071265.98311,5929649.0,2021
samastipur district,3,bihar,10599568038.20213,4742581.0,2021
banka district,3,bihar,2393088091.4975877,1086496.0,2021
purbi champaran district,3,bihar,17061553144.48574,7528149.0,2021
sheohar district,3,bihar,1494759528.4819272,590061.0,2021
bhojpur district,3,bihar,5721558825.98047,2448022.0,2021
madhepura district,4,bihar,6728032170.797292,2669341.0,2021
purnia district,4,bihar,14308666372.958649,6360264.0,2021
nalanda district,4,bihar,9545809062.000435,4304381.0,2021
buxar district,4,bihar,4694593050.833861,1873253.0,2021
darbhanga district,4,bihar,16126372900.44347,7502523.0,2021
nawada district,4,bihar,6745497141.188401,2795470.0,2021
jamui district,4,bihar,4855309103.197411,2194277.0,2021
sheikhpura district,4,bihar,1512241024.606192,618189.0,2021
siwan district,4,bihar,20337077706.726936,9398007.0,2021
muzaffarpur district,4,bihar,25294883682.87165,11287438.0,2021
patna district,4,bihar,151293164596.9189,81765610.0,2021
jehanabad district,4,bihar,4022284736.8723454,1714631.0,2021
rohtas district,4,bihar,11042288316.91397,4602525.0,2021
begusarai district,4,bihar,9435583919.991997,4482558.0,2021
supaul district,4,bihar,7393939188.486651,3015274.0,2021
sitamarhi district,4,bihar,10194421149.62866,4153350.0,2021
saran district,4,bihar,15141561808.04228,6615773.0,2021
arwal district,4,bihar,1877460508.900067,924102.0,2021
vaishali district,4,bihar,13534123655.111792,5962902.0,2021
pashchim champaran district,4,bihar,16286679057.963709,7557978.0,2021
gopalganj district,4,bihar,10667558196.345211,4774101.0,2021
lakhisarai district,4,bihar,2862649366.653165,1267087.0,2021
aurangabad district,4,bihar,8846145771.359749,4053207.0,2021
kaimur bhabua district,4,bihar,4043696220.0502496,1629114.0,2021
araria district,4,bihar,8956552823.263115,3740380.0,2021
munger district,4,bihar,4430721083.314227,2073784.0,2021
katihar district,4,bihar,11740684681.63527,5138243.0,2021
khagaria district,4,bihar,5441172620.197353,2299254.0,2021
saharsa district,4,bihar,6870412639.461977,3136205.0,2021
bhagalpur district,4,bihar,17306243345.92068,8447521.0,2021
madhubani district,4,bihar,15424171780.635149,7114778.0,2021
kishanganj district,4,bihar,5895020869.763553,2070748.0,2021
gaya district,4,bihar,16641218690.213781,7707242.0,2021
samastipur district,4,bihar,13761709165.594992,6267039.0,2021
banka district,4,bihar,3162310457.021186,1483610.0,2021
purbi champaran district,4,bihar,22867973830.953423,9979391.0,2021
sheohar district,4,bihar,2042474878.1312928,799885.0,2021
bhojpur district,4,bihar,8040908493.793683,3347510.0,2021
madhepura district,1,bihar,8169628761.117578,3384919.0,2022
purnia district,1,bihar,17165083851.27296,7761464.0,2022
nalanda district,1,bihar,11341779105.26544,5035999.0,2022
buxar district,1,bihar,5781443012.560297,2213876.0,2022
darbhanga district,1,bihar,18524507492.64019,8600500.0,2022
nawada district,1,bihar,8162305154.844238,3382331.0,2022
jamui district,1,bihar,6174044424.336721,2761886.0,2022
sheikhpura district,1,bihar,1907084229.9723082,738851.0,2022
siwan district,1,bihar,22973497584.978123,10720865.0,2022
muzaffarpur district,1,bihar,29225131277.29717,12910258.0,2022
patna district,1,bihar,170738998652.74042,91217400.0,2022
jehanabad district,1,bihar,4509669903.837337,1918857.0,2022
rohtas district,1,bihar,14390577492.290539,5494559.0,2022
begusarai district,1,bihar,10746300573.98407,5140182.0,2022
supaul district,1,bihar,9470838252.825985,3890072.0,2022
sitamarhi district,1,bihar,12169886828.57043,4933418.0,2022
saran district,1,bihar,16777415647.3166,7423680.0,2022
arwal district,1,bihar,2377609326.0923676,1056566.0,2022
vaishali district,1,bihar,15427137497.934021,6884744.0,2022
pashchim champaran district,1,bihar,20305406431.09682,9265237.0,2022
gopalganj district,1,bihar,11970509319.53153,5437535.0,2022
lakhisarai district,1,bihar,3458134392.5420113,1489189.0,2022
aurangabad district,1,bihar,11760556907.30199,4926976.0,2022
kaimur bhabua district,1,bihar,5412923796.059852,1983220.0,2022
araria district,1,bihar,11563147720.11659,4907830.0,2022
munger district,1,bihar,5011636916.322436,2340138.0,2022
katihar district,1,bihar,14031611245.27982,6255367.0,2022
khagaria district,1,bihar,6309072164.205691,2655355.0,2022
saharsa district,1,bihar,8654311080.491056,3894203.0,2022
bhagalpur district,1,bihar,20799502004.84293,10073459.0,2022
madhubani district,1,bihar,18147098698.57758,8110120.0,2022
kishanganj district,1,bihar,7872047086.849613,2696563.0,2022
gaya district,1,bihar,20921479270.86628,9087772.0,2022
samastipur district,1,bihar,15787707876.87493,7178902.0,2022
banka district,1,bihar,3997541788.480908,1820481.0,2022
purbi champaran district,1,bihar,27143934069.44426,11934864.0,2022
sheohar district,1,bihar,2380342632.556236,934918.0,2022
bhojpur district,1,bihar,9851793259.827124,3927878.0,2022
madhepura district,2,bihar,10528550899.75672,4209207.0,2022
purnia district,2,bihar,21758789746.18817,9889577.0,2022
nalanda district,2,bihar,14053342099.54648,6269480.0,2022
buxar district,2,bihar,7161712617.6599455,2797437.0,2022
darbhanga district,2,bihar,23025583344.149982,10725196.0,2022
nawada district,2,bihar,10454110803.52565,4118007.0,2022
jamui district,2,bihar,7664159458.498425,3528608.0,2022
sheikhpura district,2,bihar,2388511372.316016,953725.0,2022
siwan district,2,bihar,28063144036.92107,13494216.0,2022
muzaffarpur district,2,bihar,35870055221.49521,16060062.0,2022
patna district,2,bihar,215948701155.29102,119754430.0,2022
jehanabad district,2,bihar,4962454493.44301,2181068.0,2022
rohtas district,2,bihar,16999683485.765371,6569923.0,2022
begusarai district,2,bihar,13396079469.5421,6463752.0,2022
supaul district,2,bihar,11542262441.157791,4800847.0,2022
sitamarhi district,2,bihar,14845317009.18142,6268537.0,2022
saran district,2,bihar,21097797508.93988,9482396.0,2022
arwal district,2,bihar,2833934564.211113,1219651.0,2022
vaishali district,2,bihar,18791974627.72206,8483096.0,2022
pashchim champaran district,2,bihar,22189359146.47333,10647366.0,2022
gopalganj district,2,bihar,14516572895.08482,6866807.0,2022
lakhisarai district,2,bihar,4178741899.8042865,1833275.0,2022
aurangabad district,2,bihar,13966695911.64594,5998050.0,2022
kaimur bhabua district,2,bihar,6576390597.065289,2446252.0,2022
araria district,2,bihar,14540177017.556522,6068247.0,2022
munger district,2,bihar,6133298409.635766,2942234.0,2022
katihar district,2,bihar,17364725135.13901,8028934.0,2022
khagaria district,2,bihar,8105786236.559595,3319181.0,2022
saharsa district,2,bihar,10425194152.62,4720666.0,2022
bhagalpur district,2,bihar,27138540976.03626,13606084.0,2022
madhubani district,2,bihar,22075739375.545723,9968959.0,2022
kishanganj district,2,bihar,9041606905.003721,3377891.0,2022
gaya district,2,bihar,25092417405.41481,10986567.0,2022
samastipur district,2,bihar,19625456128.133408,8955837.0,2022
banka district,2,bihar,4974783639.077059,2349784.0,2022
purbi champaran district,2,bihar,32099286217.64873,14735078.0,2022
sheohar district,2,bihar,3004542073.554057,1194107.0,2022
bhojpur district,2,bihar,12025976488.832731,4830495.0,2022
madhepura district,3,bihar,8953953685.411013,4155258.0,2022
purnia district,3,bihar,18855257893.3353,9688113.0,2022
nalanda district,3,bihar,12758737340.182428,6312480.0,2022
buxar district,3,bihar,6267094764.700462,2865171.0,2022
darbhanga district,3,bihar,19863946497.37143,10324556.0,2022
nawada district,3,bihar,10110506714.580341,4486372.0,2022
jamui district,3,bihar,7696647528.882873,3946599.0,2022
sheikhpura district,3,bihar,2159710163.7606363,918143.0,2022
siwan district,3,bihar,18122655169.770042,9418848.0,2022
muzaffarpur district,3,bihar,33481627797.22489,16912765.0,2022
patna district,3,bihar,298860414441.2887,188665398.0,2022
jehanabad district,3,bihar,4817559409.231341,2448662.0,2022
rohtas district,3,bihar,14544338902.35383,6784436.0,2022
begusarai district,3,bihar,14221932160.040892,7583904.0,2022
supaul district,3,bihar,10141522251.31158,4921556.0,2022
sitamarhi district,3,bihar,22642688423.69205,12134163.0,2022
saran district,3,bihar,20973427431.87491,10802033.0,2022
arwal district,3,bihar,2467707362.6935673,1236701.0,2022
vaishali district,3,bihar,18511476452.576893,9169007.0,2022
pashchim champaran district,3,bihar,21455732877.10686,11723439.0,2022
gopalganj district,3,bihar,14444438767.732462,7957267.0,2022
lakhisarai district,3,bihar,3725300700.4204593,1805206.0,2022
aurangabad district,3,bihar,11748526557.99545,5912006.0,2022
kaimur bhabua district,3,bihar,5227485997.481998,2341336.0,2022
araria district,3,bihar,13243913151.98471,6340369.0,2022
munger district,3,bihar,5290417306.818952,2750473.0,2022
katihar district,3,bihar,15746213805.903898,8203134.0,2022
khagaria district,3,bihar,7232845388.720422,3304286.0,2022
saharsa district,3,bihar,9756024807.481964,5029944.0,2022
bhagalpur district,3,bihar,16048487257.88005,8342252.0,2022
madhubani district,3,bihar,19516793344.794163,9999220.0,2022
kishanganj district,3,bihar,8599495658.020891,3653577.0,2022
gaya district,3,bihar,23491978226.50628,11189071.0,2022
samastipur district,3,bihar,23600501220.43035,12531008.0,2022
banka district,3,bihar,5282684096.827042,2758275.0,2022
purbi champaran district,3,bihar,28167506672.73384,14515173.0,2022
sheohar district,3,bihar,2733020743.267746,1221390.0,2022
bhojpur district,3,bihar,10683915585.5235,5015794.0,2022
madhepura district,4,bihar,10394138384.37764,5022050.0,2022
purnia district,4,bihar,20057462336.59633,10279227.0,2022
nalanda district,4,bihar,15020248161.56333,7514886.0,2022
buxar district,4,bihar,8273334277.124818,3859617.0,2022
darbhanga district,4,bihar,22879238312.294178,12146750.0,2022
nawada district,4,bihar,10797138677.4231,4969118.0,2022
jamui district,4,bihar,9004026158.218195,4745328.0,2022
sheikhpura district,4,bihar,3199876556.987208,1523803.0,2022
siwan district,4,bihar,23745856584.586132,12408052.0,2022
muzaffarpur district,4,bihar,37684755616.87426,19056253.0,2022
patna district,4,bihar,352393762150.4539,217434851.0,2022
jehanabad district,4,bihar,5377284750.0929985,2844066.0,2022
rohtas district,4,bihar,17861976613.69109,8337061.0,2022
begusarai district,4,bihar,16334643255.62848,8893901.0,2022
supaul district,4,bihar,12023032235.635069,6223660.0,2022
sitamarhi district,4,bihar,22844727997.17128,11973091.0,2022
saran district,4,bihar,26710050303.497467,13791757.0,2022
arwal district,4,bihar,3359266564.982947,1753363.0,2022
vaishali district,4,bihar,26133475409.36425,13468090.0,2022
pashchim champaran district,4,bihar,25203288880.711174,13798685.0,2022
gopalganj district,4,bihar,16157351383.92667,8691592.0,2022
lakhisarai district,4,bihar,4387567183.802447,2222938.0,2022
aurangabad district,4,bihar,14382742226.58089,7443654.0,2022
kaimur bhabua district,4,bihar,6480522741.600657,2948908.0,2022
araria district,4,bihar,15306990824.12312,7506762.0,2022
munger district,4,bihar,6540000510.843185,3517170.0,2022
katihar district,4,bihar,17698024129.87237,9792573.0,2022
khagaria district,4,bihar,8408292444.20792,4032933.0,2022
saharsa district,4,bihar,11202536901.79657,5976774.0,2022
bhagalpur district,4,bihar,16890265333.161451,8897955.0,2022
madhubani district,4,bihar,23814034850.98454,12545809.0,2022
kishanganj district,4,bihar,10323745245.98177,4547825.0,2022
gaya district,4,bihar,28395718045.336967,14024331.0,2022
samastipur district,4,bihar,25127091204.3466,13239614.0,2022
banka district,4,bihar,8935956598.64038,4955109.0,2022
purbi champaran district,4,bihar,36872763823.280266,19272446.0,2022
sheohar district,4,bihar,3282461020.338641,1532102.0,2022
bhojpur district,4,bihar,12508501978.733711,5892545.0,2022
chandigarh district,1,chandigarh,613435420.8676233,381895.0,2018
chandigarh district,2,chandigarh,961223261.7447301,479084.0,2018
chandigarh district,3,chandigarh,1369354447.5343108,616936.0,2018
chandigarh district,4,chandigarh,2032591591.779975,905116.0,2018
chandigarh district,1,chandigarh,2396032050.444029,1274476.0,2019
chandigarh district,2,chandigarh,2693116098.944455,1252470.0,2019
chandigarh district,3,chandigarh,3269682087.660841,1506543.0,2019
chandigarh district,4,chandigarh,4152513817.9393544,1850915.0,2019
chandigarh district,1,chandigarh,5126453070.016205,2262511.0,2020
chandigarh district,2,chandigarh,3847015729.690074,1528010.0,2020
chandigarh district,3,chandigarh,5089809353.36507,2158086.0,2020
chandigarh district,4,chandigarh,6146762901.349346,2912716.0,2020
chandigarh district,1,chandigarh,7596420859.545994,3970237.0,2021
chandigarh district,2,chandigarh,8417673939.936101,4417547.0,2021
chandigarh district,3,chandigarh,11815883004.6933,6649378.0,2021
chandigarh district,4,chandigarh,14373583510.61845,7898903.0,2021
chandigarh district,1,chandigarh,15174991549.84,8600491.0,2022
chandigarh district,2,chandigarh,17283500158.371,10772489.0,2022
chandigarh district,3,chandigarh,20559757737.40585,13478173.0,2022
chandigarh district,4,chandigarh,27879754566.93941,17904840.0,2022
dhamtari district,1,chhattisgarh,36969406.65169988,40907.0,2018
korba district,1,chhattisgarh,99366683.13643219,93345.0,2018
surajpur district,1,chhattisgarh,34242977.1533452,35573.0,2018
baloda bazar district,1,chhattisgarh,55455251.90835041,61987.0,2018
sukma district,1,chhattisgarh,6509136.045384104,3825.0,2018
raigarh district,1,chhattisgarh,140463994.7227481,133135.0,2018
janjgir champa district,1,chhattisgarh,223984259.5478169,219761.0,2018
jashpur district,1,chhattisgarh,39068620.43575929,41174.0,2018
balod district,1,chhattisgarh,33548672.66448532,36121.0,2018
kabirdham district,1,chhattisgarh,22661025.448303577,32615.0,2018
surguja district,1,chhattisgarh,77822921.04137452,68251.0,2018
dantewada district,1,chhattisgarh,12999922.810604932,8452.0,2018
gariyaband district,1,chhattisgarh,38684589.83509959,40648.0,2018
durg district,1,chhattisgarh,274435199.82481164,226774.0,2018
rajnandgaon district,1,chhattisgarh,79830832.05145703,73040.0,2018
raipur district,1,chhattisgarh,474633363.89817554,323570.0,2018
narayanpur district,1,chhattisgarh,2964107.201561708,2998.0,2018
kanker district,1,chhattisgarh,28373231.31840328,29788.0,2018
korea district,1,chhattisgarh,44008432.87485616,39025.0,2018
mungeli district,1,chhattisgarh,15819138.351462012,19819.0,2018
bilaspur district,1,chhattisgarh,169865045.945706,158509.0,2018
balrampur district,1,chhattisgarh,41793646.192111745,29546.0,2018
bijapur district,1,chhattisgarh,10478592.78920759,5863.0,2018
bemetara district,1,chhattisgarh,40326244.06428747,41406.0,2018
bastar district,1,chhattisgarh,50365512.88669063,38895.0,2018
kondagaon district,1,chhattisgarh,25283402.36998293,22249.0,2018
mahasamund district,1,chhattisgarh,69201346.06665277,64238.0,2018
dhamtari district,2,chhattisgarh,75916210.48885134,64767.0,2018
korba district,2,chhattisgarh,211036250.0265977,138391.0,2018
surajpur district,2,chhattisgarh,71214642.79943518,52149.0,2018
baloda bazar district,2,chhattisgarh,133808358.1684403,92920.0,2018
sukma district,2,chhattisgarh,17216596.73504253,6329.0,2018
raigarh district,2,chhattisgarh,269228922.76939774,190903.0,2018
janjgir champa district,2,chhattisgarh,565626317.3622495,402022.0,2018
jashpur district,2,chhattisgarh,81880457.75661291,57456.0,2018
balod district,2,chhattisgarh,55679688.81664646,51273.0,2018
kabirdham district,2,chhattisgarh,50368745.15026155,45836.0,2018
surguja district,2,chhattisgarh,156057826.4741858,94260.0,2018
dantewada district,2,chhattisgarh,33319758.30556655,16759.0,2018
gariyaband district,2,chhattisgarh,69652731.44749868,54234.0,2018
durg district,2,chhattisgarh,466514532.1427194,302345.0,2018
rajnandgaon district,2,chhattisgarh,152826147.24321362,118132.0,2018
raipur district,2,chhattisgarh,841704574.3248034,470127.0,2018
narayanpur district,2,chhattisgarh,6008458.096208755,4613.0,2018
kanker district,2,chhattisgarh,60601702.39365116,39505.0,2018
korea district,2,chhattisgarh,95050511.51330401,54668.0,2018
mungeli district,2,chhattisgarh,36967297.02084474,31126.0,2018
bilaspur district,2,chhattisgarh,324449553.2865913,227499.0,2018
balrampur district,2,chhattisgarh,112473572.2682211,45309.0,2018
bijapur district,2,chhattisgarh,26201133.89758309,12815.0,2018
bemetara district,2,chhattisgarh,80647586.92949432,61257.0,2018
bastar district,2,chhattisgarh,96021635.6917436,57153.0,2018
kondagaon district,2,chhattisgarh,49190220.3783858,31090.0,2018
mahasamund district,2,chhattisgarh,124507011.67411292,93218.0,2018
dhamtari district,3,chhattisgarh,117488009.02391441,82428.0,2018
korba district,3,chhattisgarh,293436194.59698164,184852.0,2018
surajpur district,3,chhattisgarh,117394526.22110221,70726.0,2018
baloda bazar district,3,chhattisgarh,204693992.96310723,127539.0,2018
sukma district,3,chhattisgarh,34497222.33322545,14906.0,2018
raigarh district,3,chhattisgarh,410153295.34528,263831.0,2018
janjgir champa district,3,chhattisgarh,761781545.6720302,544027.0,2018
jashpur district,3,chhattisgarh,107652984.4452289,68085.0,2018
balod district,3,chhattisgarh,92661258.52399492,71561.0,2018
kabirdham district,3,chhattisgarh,79081577.09812817,59769.0,2018
